category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,9.01718815403935,6893460,764480,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2005
C,Air Products and Chemicals Inc ,8.04651267100247,3587940,445900,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2005
C,DTE Stockton LLC ,13.7491276920632,3979850,289462,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2005
C,GWF Power Systems LP ,11.1499747152455,1852100,166108,C0008 ,East Third Street Power Plant - Retired April 2012,2005
C,GWF Power Systems LP ,11.2033510572524,1812030,161740,C0009 ,Loveridge Road Power Plant - Retired April 2012,2005
C,GWF Power Systems LP ,11.2455279346293,1826240,162397,C0012 ,Nichols Road Power Plant - Retired April 2012,2005
C,GWF Power Systems LP ,11.3903769036067,1894550,166329,C0010 ,Wilbur East Power Plant - Retired April 2012,2005
C,GWF Power Systems LP ,11.2492989176482,1885360,167598,C0011 ,Wilbur West Power Plant - Retired April 2012,2005
C,Hanford LP ,12.6036008148266,2524350,200288,C0007 ,Hanford - Retired October 2011,2005
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2005
C,Karnavati Holdings Inc ,44.4520908470392,15549080,349794.119999997,C0017 ,Argus Cogen Plant,2005
C,Los Angeles Department of Water & Power (LADWP) ,9.53649886638574,130309200,13664260,C0023 ,Intermountain Power Project (UT),2005
C,Mt Poso Cogeneration Co ,8.55436618662393,3651320,426837,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2005
C,Rio Bravo ,4.80501072501072,1400060,291375,C0018 ,Rio Bravo Jasmin,2005
C,Rio Bravo ,4.69975721607769,1393760,296560,C0022 ,Rio Bravo Poso,2005
C,Southern California Edison (SCE) ,10.2816402698694,107438000,10449500,C0024 ,Mohave Generating Station (Nevada) - Retired December 2005,2005
C,Tesoro Refining & Marketing Company LLC ,14.6181022607568,3608040,246820,C0002 ,Los Angeles Refinery - Calciner,2005
C,TXI Riverside Cement ,5.78096407279041,852328,147437,C0019 ,TXI Riverside Cement Power House (Shutdown March 2008),2005
E,Big Valley Power LLC ,30.5003971405878,268800,8813,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2005
E,Bio Energy Partners/WM Renewable Energy ,16.9322679293677,858212,50685,E0106 ,Altamont Gas Recovery,2005
E,Burney Forest Power ,18.6244134238717,4083980,219281,E0005 ,Burney Forest Products,2005
E,Burney Mountain Power ,19.039569307051,1566690,82286,E0006 ,Burney Mountain Power,2005
E,Chateau Energy Inc ,,0,0,E0042 ,Mesquite Lake Resource Recovery Project - Retired Dec 2008,2005
E,City of Oxnard Wastewater Division ,10.568875017733,74500,7049,E0211 ,Oxnard Wastewater Treatment Plant,2005
