category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,11.4362027337149,9184220,803083,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2008
C,Air Products and Chemicals Inc ,8.74405312921692,3797210,434262,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2008
C,DTE Stockton LLC ,13.1260313139225,3452330,263014,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2008
C,GWF Power Systems LP ,11.6639874254278,1632550,139965,C0008 ,East Third Street Power Plant - Retired April 2012,2008
C,GWF Power Systems LP ,11.3313020194426,1718120,151626,C0009 ,Loveridge Road Power Plant - Retired April 2012,2008
C,GWF Power Systems LP ,11.2880770579824,1673480,148252,C0012 ,Nichols Road Power Plant - Retired April 2012,2008
C,GWF Power Systems LP ,11.2359855901556,1612510,143513,C0010 ,Wilbur East Power Plant - Retired April 2012,2008
C,GWF Power Systems LP ,11.747246279324,1816230,154609,C0011 ,Wilbur West Power Plant - Retired April 2012,2008
C,Hanford LP ,11.8568430409126,2401070,202505,C0007 ,Hanford - Retired October 2011,2008
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2008
C,Karnavati Holdings Inc ,49.5405106351727,15848855,319917.069824219,C0017 ,Argus Cogen Plant,2008
C,Los Angeles Department of Water & Power (LADWP) ,9.51689163635459,137646896,14463430,C0023 ,Intermountain Power Project (UT),2008
C,Mt Poso Cogeneration Co ,9.9340173807875,4074020,410108,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2008
C,Rio Bravo ,5.80736353234166,1725600,297140,C0018 ,Rio Bravo Jasmin,2008
C,Rio Bravo ,5.7987675008344,1685290,290629,C0022 ,Rio Bravo Poso,2008
C,Tesoro Refining & Marketing Company LLC ,16.9534562715365,3414460,201402,C0002 ,Los Angeles Refinery - Calciner,2008
C,TXI Riverside Cement ,5.83003371660759,134872,23134,C0019 ,TXI Riverside Cement Power House (Shutdown March 2008),2008
E,Ameresco Inc ,11.8753648569761,244110,20556,E0214 ,Ameresco Santa Cruz Energy,2008
E,Big Valley Power LLC ,22.7754833618309,692648,30412,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2008
E,Bio Energy Partners/WM Renewable Energy ,17.1865627382869,811412,47212,E0106 ,Altamont Gas Recovery,2008
E,Burney Forest Power ,19.2043609566512,4565760,237746,E0005 ,Burney Forest Products,2008
E,Burney Mountain Power ,19.7330115299002,1577970,79966,E0006 ,Burney Mountain Power,2008
E,Chateau Energy Inc ,,0,0,E0042 ,Mesquite Lake Resource Recovery Project - Retired Dec 2008,2008
E,City of Oxnard Wastewater Division ,13.0959056874303,82203,6277,E0211 ,Oxnard Wastewater Treatment Plant,2008
E,City of San Diego ,18,581562,32309,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2008
E,City of Sunnyvale Water Pollution Control Plant ,15.0988198677214,116427,7711,E0181 ,Sunnyvale Water Pollution Control Plant,2008
E,Collins Pine Co ,30.0289238621863,1411960,47020,E0026 ,Collins Pine Co Project,2008
E,Community Renewable Energy Services Inc ,19.910298387595,1611440,80935,E0033 ,Dinuba Energy,2008
E,County of Riverside Waste Management Department ,13,69069,5313,E0210 ,RCWMD Badlands Power Plant,2008
E,County of Sacramento Waste Management ,7.7254372075858,648929,83999,E0203 ,Kiefer Landfill Gas-to-Energy Facility,2008
E,County Sanitation Districts of Los Angeles County ,14.6950074285874,1048430,71346,E0113 ,Commerce Refuse To Energy,2008
E,County Sanitation Districts of Los Angeles County ,14.6595539806648,380606,25963,E0130 ,Palos Verdes Gas to Energy Facility - Retired Oct 2011,2008
E,County Sanitation Districts of Los Angeles County ,11.3935732364917,4659003,408915,E0127 ,Puente Hills Energy Recovery,2008
E,County Sanitation Districts of Los Angeles County ,13.6113068985165,644999,47387,E0129 ,Spadra Landfill Gas to Energy,2008
E,County Sanitation Districts of Los Angeles County ,12.2808774370216,1686275,137309,E0212 ,Total Energy Facilities,2008
E,Covanta Delano/Mendota ,14.6797199373594,4677590,318643,E0029 ,Covanta Delano  Inc,2008
E,Covanta Delano/Mendota ,17.0673146966439,2928700,171597,E0052 ,Covanta Mendota LP,2008
E,Covanta Energy Inc ,19.1420315996927,2292220,119748,E0150 ,Stanislaus Resource Recovery Facility,2008
E,Desert View Power (formerly Colmac Energy Inc) ,15.0945742212926,5426590,359506,E0027 ,Desert View Power (Mecca Plant),2008
E,DTE Energy Services ,15.6138090398761,2581150,165312,E0105 ,Woodland Biomass Power Ltd,2008
E,East Bay Municipal Utility District (EBMUD) ,14.2932302855194,568083,39744.8994140625,E0036 ,EBMUD Wastewater Treatment Plant Power Generation Station,2008
E,Eel River Power LLC ,24.7041426060758,1967932,79660,E0063 ,Scotia,2008
E,Encina Wastewater Authority ,14.8993443887389,38634,2593,E0251 ,Encina Water Pollution Control,2008
E,Energy 2001 Inc ,27.7120233381955,398970,14397,E0225 ,Lincoln Landfill - WPWMA,2008
E,Evergreen Pulp Incorporated ,37.6399117460381,3736100,99259,E0048 ,Samoa Pulp Mill (Closed) - Retired December 2008,2008
E,Fortistar Methane Group ,17.2913683641767,128008,7403,E0118 ,American Canyon Power Plant (Retired 2013),2008
E,Fortistar Methane Group ,16.6725446428571,896316,53760,E0117 ,Coyote Canyon,2008
E,Fortistar Methane Group ,24.5227298237737,436946,17818,E0120 ,Guadalupe Power Plant (Retired 2013),2008
E,Fortistar Methane Group ,12.7131186929361,132280,10405,E0123 ,Marsh Road Power Plant (Retired 2013),2008
E,Fortistar Methane Group ,14.6104518097821,689438,47188,E0168 ,MM Lopez Energy LLC,2008
E,Fortistar Methane Group ,17.7564568886563,678563,38215,E0194 ,MM Prima Deshecha Energy LLC,2008
E,Fortistar Methane Group ,12.8858410649455,606936,47101,E0054 ,MM San Diego LLC - Miramar Landfill,2008
E,Fortistar Methane Group ,15.8260653785071,478327,30224,E0202 ,MM San Diego LLC - North City,2008
E,Fortistar Methane Group ,11.9983613817538,270923,22580,E0095 ,MM Tajiguas Energy LLC,2008
E,Fortistar Methane Group ,11.2747683923706,103446,9175,E0101 ,MM Tulare Energy LLC,2008
E,Fortistar Methane Group ,18.519515708602,1079910,58312,E0152 ,MM West Covina LLC,2008
E,Fortistar Methane Group ,12.1755362201538,240686,19768,E0154 ,MM Yolo Power LLC Facility,2008
E,Fortistar Methane Group ,14.4495148574894,95309,6596,E0204 ,MN Colton Genco LLC (Retired 2013),2008
E,Fortistar Methane Group ,18.7949110974862,245236,13048,E0209 ,MN Mid Valley Genco LLC,2008
E,Fortistar Methane Group ,15.3131782945736,138278,9030,E0206 ,MN Milliken Genco LLC (Retired 2014),2008
E,Fortistar Methane Group ,16.7227308917197,252045,15072,E0179 ,Newby Island I,2008
E,Fortistar Methane Group ,14.5549019607843,252382,17340,E0122 ,Newby Island II (Retired 2010),2008
E,Gas Recovery Systems Inc ,26.3012073713196,124168,4721,E0075 ,San Marcos,2008
E,Gas Recovery Systems Inc ,16.4584595099804,264438.3984375,16067.0200195312,E0094 ,Sycamore Landfill San Diego,2008
E,Global Ampersand LLC ,8.56641870350691,177342,20702,E0018 ,Chowchilla II Biomass,2008
E,Global Ampersand LLC ,14.7330713005103,213659,14502,E0007 ,El Nido Biomass,2008
E,HL Power Co ,14.9209145923661,2591360,173673,E0041 ,HL Power Company (Honey Lake),2008
E,IHI Power Services Corp ,21.9323822387304,2598110,118460,E0100 ,Pacific Ultrapower Chinese,2008
E,Los Angeles Department of Water & Power (LADWP) ,14.4278159513617,401050,27797,E0153 ,Bradley Landfill,2008
E,Madera Power LLC ,1.77750813239015,34425,19367,E0050 ,Madera Power (offline 3/28/2012 - repowered 2013),2008
E,Marubeni Sustainable Energy Inc ,20.4705031709527,2349850,114792,E0037 ,DG Fairhaven Power Plant,2008
E,Monterey Regional Waste Mgmt Dist ,10.5565691118713,333292,31572,E0135 ,Marina Landfill Gas (Monterey Regional Waste Management Dst),2008
E,MRWPCA ,13,103311,7947,E0055 ,Monterey Regional Water Pollution Control Cogen,2008
E,Mt Lassen Power ,34.3032504132984,2635210,76821,E0056 ,Mount  Lassen Power (Retired 2011),2008
E,Orange County Sanitation District ,11.0184945366248,544534,49420,E0025 ,Plant No 2,2008
E,Otay Landfill Gas LLC ,13.0557917946295,331591,25398,E0061 ,Otay 1 & 2 Power Station,2008
E,Otay Landfill Gas LLC ,13.0550144667672,320357,24539,E0300 ,Otay 3 Power Station,2008
E,Pacific Oroville Power Inc ,16.9571600374148,1903526,112255,E0064 ,Pacific Oroville Power Inc,2008
E,Pacific Recovery Corp ,13.3918430377835,201573.890625,15051.990234375,E0125 ,Oxnard - Closed December 2009,2008
E,Pacific Recovery Corp ,13.2270283785473,105803,7999,E0144 ,Salinas - Closed August 2009,2008
E,Ridgewood Power Management LLC ,21.0201069053391,676385,32178,E0109 ,Brea Power Partners LP,2008
E,Rio Bravo ,16.8211101849366,2381230,141562,E0098 ,Rio Bravo Fresno,2008
E,Rio Bravo ,16.302893137309,2658040,163041,E0099 ,Rio Bravo Rocklin,2008
E,SCS Energy ,29.5707070707071,409850,13860,E0142 ,Penrose Landfill - Retired December 2005,2008
E,SERRF Joint Powers Authority ,17.6274236983842,3927390,222800,E0112 ,Southeast Resource Recovery,2008
E,SF Public Utilities Commisson ,,0,0,E0110 ,Southeast Digester Gas Cogen Plant,2008
E,Sierra Pacific Industries Inc ,35.1829434167573,1034660,29408,E0174 ,SPI - Anderson,2008
E,Sierra Pacific Industries Inc ,24.0493790656416,2765390,114988,E0078 ,SPI - Burney,2008
E,Sierra Pacific Industries Inc ,22.6915742698132,2629840,115895,E0004 ,SPI - Lincoln,2008
E,Sierra Pacific Industries Inc ,21.6496991545863,1705520,78778,E0084 ,SPI - Loyalton - Shut Down 08/20/2010,2008
E,Sierra Pacific Industries Inc ,24.9167194140519,4408864,176944,E0081 ,SPI - Quincy,2008
E,Sierra Pacific Industries Inc ,35.8849405093145,1354190,37737,E0038 ,SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009),2008
E,Sonoma County Department of Transportation and Public Works ,12.5982503037667,259209,20575,E0195 ,Central LF (Sonoma) Phase I,2008
E,Sonoma County Department of Transportation and Public Works ,12.5573657980876,280848,22365.2001953125,E0196 ,Central LF (Sonoma) Phase II,2008
E,Sonoma County Department of Transportation and Public Works ,11.6294817319366,44827,3854.59997558594,E0197 ,Central LF (Sonoma) Phase III,2008
E,South Orange County Wastewater Authority ,7.84219294260185,51782,6603,E0155 ,Aliso Water Management Agency,2008
E,Thermal Energy Dev Partner LP ,15.3775915277043,2297120,149381,E0096 ,Tracy Biomass Plant,2008
E,Toyon Landfill Gas Conversion LLC ,31.3795098188461,206132,6569,E0143 ,Toyon Landfill Gas Conversion LLC,2008
E,Wadham Energy LP ,14.278926092594,1872110,131110,E0102 ,Wadham,2008
E,West Contra Costa Energy Recovery Inc ,12.5517886501502,221401,17639,E0137 ,Nove Power Plant,2008
E,Wheelabrator Technologies Inc ,15.932134375656,6299550,395399,E0086 ,Wheelabrator Shasta,2008
E,WM Energy Solutions Inc ,17.9064091476891,186352,10407,E0207 ,El Sobrante Landfill,2008
E,WM Energy Solutions Inc ,12.9982714701601,142877,10992,E0208 ,Simi Valley Landfill,2008
G,Aera Energy LLC ,22.6012498040182,1009078,44647,G0802 ,AERA San Ardo Cogen Facility,2008
G,Aera Energy LLC ,14.7430636632099,858695,58244,G0557 ,Coalinga Cogeneration Facility,2008
G,Aera Energy LLC ,16.3912119175277,1048595,63973,G0599 ,Lost Hills Cogeneration Plant,2008
G,Aera Energy LLC ,11.452280738611,4688140,409363,G0516 ,South Belridge Cogen Facility,2008
G,AES Alamitos LLC ,10.7497881745742,27226483,2532746,G0011 ,Alamitos,2008
G,AES Huntington Beach LLC ,10.927460154784,16782590,1535818,G0274 ,Huntington Beach (AES),2008
G,AES Redondo Beach LLC ,11.7260784437567,3713180,316660,G0490 ,Redondo Beach LLC_(AES),2008
G,Air Products and Chemicals Inc ,0,0,220110,G0078 ,Wilmington,2008
G,Algonquin Power Systems ,8.41912947557108,1099050,130542,G0536 ,Algonquin Power Sanger LLC,2008
G,Alliance Star Energy LLC ,9.14894259818731,30283,3310,G1017 ,Sheraton San Diego East Tower (shutdown August 2014),2008
G,Altagas Blythe Operations Inc ,7.83318306357724,10738260,1370868,G0787 ,Blythe Energy Project,2008
G,AltaGas Pomona Energy Inc ,9.85922947338527,1527520,154933,G0562 ,AltaGas Pomona Energy Inc (San Gabriel Cogeneration),2008
G,AltaGas San Joaquin Energy Inc ,10.2163610409575,465202,45535,G0832 ,Hanford Energy Park Peaker,2008
G,AltaGas San Joaquin Energy Inc ,10.3506158455393,497492,48064,G0867 ,Henrietta Peaker,2008
G,AltaGas San Joaquin Energy Inc ,12.3032823144298,139064,11303,G0838 ,Tracy Peaker Plant (reconfigured from Peaker to CC 2012),2008
G,Applied Energy LLC ,10.6507798434244,3159000,296598,G0626 ,Naval Station Energy Facility,2008
G,Applied Energy LLC ,11.1057107676306,2904210,261506,G0399 ,North Island Energy Facility,2008
G,Applied Energy LLC ,10.3219959187532,1856380,179847,G0386 ,NTC MCRD Energy Facility,2008
G,B Braun Medical Inc ,15.2424242424242,503000,33000,G9100 ,B Braun Medical Inc,2008
G,Badger Creek Limited ,9.32075921836683,3359910,360476,G0040 ,Badger Creek Cogen,2008
G,Bear Mountain Limited ,9.06443089176362,3619110,399265,G0428 ,Bear Mountain Cogen,2008
G,Bicent (California) Malburg LLC ,7.71111676587082,6969770,903860,G0894 ,Malburg Power Plant,2008
G,Biola University ,11.2678797246031,160387,14234,G0054 ,Biola University,2008
G,Black Hills Energy Capital ,,0,0,G0415 ,Black Hills Ontario Facility -Retired February 2009,2008
G,Burbank Water and Power ,10.7893819245262,191846,17781,G0063 ,Lake 1,2008
G,Burbank Water and Power ,7.23263532739045,11359700,1570617,G0329 ,Magnolia,2008
G,Burbank Water and Power ,17.3469298245614,197755,11400,G0410 ,Olive,2008
G,C&H Sugar Company ,0,0,51847,G0509 ,C&H Sugar Plant,2008
G,Cabrillo Power I LLC (NRG West Coast Inc) ,12.3621659613165,12329740,997377,G0196 ,Encina,2008
G,Cabrillo Power II LLC (NRG West Coast Inc) ,19.8507462686567,13300,670,G0189 ,El Cajon,2008
G,Cabrillo Power II LLC (NRG West Coast Inc) ,16.7229699416779,74551,4458,G0289 ,Kearny,2008
G,Cabrillo Power II LLC (NRG West Coast Inc) ,18.0180383314543,15982,887,G0360 ,San Diego Combustion Turbines - Miramar 1A 1B,2008
G,Calgren Renewable Fuels LLC ,46.3946787498548,399319,8607,G1020 ,Pixley Cogen Plant,2008
G,California Institute of Technology ,12.9369018333303,720469,55691,G0757 ,California Institute of Technology,2008
G,California Power Holdings LLC ,10.2305884828505,583430,57028,G0896 ,Chowchilla II Peaker,2008
G,California Power Holdings LLC ,9.84680479554111,518355.498046875,52642,G0897 ,Red Bluff,2008
G,California Resources Corporation ,11.8399842251855,4323240,365139,G0775 ,Elk Hills CoGeneration,2008
G,CalPeak Power - Border LLC ,10.7719560200896,158714,14734,G0853 ,Border - CalPeak Power,2008
G,CalPeak Power - Enterprise LLC ,10.7427068018262,138828,12923,G0845 ,Enterprise - CalPeak Power,2008
G,CalPeak Power - Panoche ,10.3756076637118,72567,6994,G0908 ,Panoche - CalPeak Power,2008
G,CalPeak Power - Vaca Dixon LLC ,10.7522671063479,78255,7278,G0909 ,Vaca Dixon - CalPeak Power,2008
G,Calpine Corp & Bechtel Enterprise ,6.8931698881664,22442300,3255730,G0794 ,Metcalf Energy Center LLC,2008
G,Calpine Corporation - West Region ,10.3461012991529,833006,80514,G0866 ,Los Esteros Critical Energy Facility  LLC,2008
G,Calpine Corporation - West Region ,7.28752857587154,22729000,3118890,G0780 ,Los Medanos Energy Center LLC,2008
G,Calpine Corporation - West Region ,7.43035656843948,21551400,2900453,G0779 ,Sutter Energy Center - Calpine Construction Finance Co,2008
G,Calpine Gilroy Cogen LP ,8.97721959791704,1113660,124054,G0229 ,Calpine Gilroy Cogen  L.P.,2008
G,Calpine King City Cogeneration LLC ,8.74078296251703,4094410,468426,G0019 ,Calpine King City Cogeneration  LLC,2008
G,Calpine Monterey Cogeneration Inc ,8.54164698100728,1446340,169328,G0661 ,Watsonville - (Non-Operational May 2011),2008
G,Cardinal Cogen ,11.2041782482326,4413830,393945,G0080 ,Cardinal Cogen - Retired 3/31/2015,2008
