technology	overnight_category	online	size	lead.time	base.overnight	contingency.factor	tech.optimism	total.overnight	variable.o.m	fixed.o.m	heat.rate	heat.rate.nth	cost.year	year
Solar thermal	solar thermal	2013	100	3	4333	1.07	1	4636	0	63.23	9854	9854	2009	2011
Solar thermal	solar thermal	2014	100	3	4384	1.07	1	4691	0	64	9760	9760	2010	2012
Solar thermal	solar thermal	2015	100	3	4653	1.07	1	4979	0	66.09	9756	9756	2011	2013
Solar thermal	solar thermal	2016	100	3	4715	1.07	1	5045	0	67.26	9716	9716	2012	2014
Solar thermal	solar thermal	2017	100	3	3787	1.07	1	4052	0	67.23	9516	9516	2013	2015
Wind	wind	1996		3	726				0	27.4			1995	1997
Wind	wind	1997	50	3	776				0	25.92			1997	1999
Wind	wind	1997	50	3	993				0	25.92			1998	2000
Wind	wind	2004	50	3	919	1.07	1	983	0	26	10280	10280	1999	2001
Wind	wind	2004	50	3	918	1.07	1	982	0	25.54	10280	10280	2000	2002
Wind	wind	2005	50	3	938	1.07	1	1003	0	26.1	10280	10280	2001	2003
Wind	wind	2006	50	3	949	1.07	1	1015	0	26.41	10280	10280	2002	2004
Wind	wind	2007	50	3	1060	1.07	1	1134	0	26.81	10280	10280	2003	2005
Wind	wind	2008	50	3	1091	1.07	1	1167	0	27.59	10280	10280	2004	2006
Wind	wind	2009	50	3	1127	1.07	1	1206	0	28.51	10280	10280	2005	2007
Wind	wind	2010	50	3	1340	1.07	1	1434	0	29.48	10022	10022	2006	2008
Wind	wind	2009	50	3	1797	1.07	1	1923	0	30.3	9919	9919	2007	2009
Wind	wind	2009	50	3	1837	1.07	1	1966	0	30.98	9884	9884	2008	2010
Wind	wind	2011	100	3	2251	1.07	1	2409	0	27.73	9854	9854	2009	2011
Wind	wind	2011	100	3	2278	1.07	1	2437	0	28.07	9760	9760	2010	2012
Wind	wind	2013	100	3	2032	1.07	1	2175	0	38.86	9756	9756	2011	2013
Wind	wind	2014	100	3	2061	1.07	1	2205	0	39.55	9716	9716	2012	2014
Wind	wind	2017	100	3	1850	1.07	1	1980	0	39.53	9516	9516	2013	2015
Wind offshore	wind_offshore	2011	100	4	2547	1.1	1.03	2872	0	87.05	10022	10022	2006	2008
Wind offshore	wind_offshore	2012	100	4	3416	1.1	1.03	3851	0	89.48	9919	9919	2007	2009
Wind offshore	wind_offshore	2013	100	4	3492	1.1	1.02	3937	0	86.92	9884	9884	2008	2010
Wind offshore	wind_offshore	2014	400	4	4404	1.1	1.25	6056	0	86.98	9854	9854	2009	2011
Wind offshore	wind_offshore	2015	400	4	4345	1.1	1.25	5974	0	53.33	9760	9760	2010	2012
Wind offshore	wind_offshore	2016	400	4	4452	1.1	1.25	6121	0	72.71	9756	9756	2011	2013
Wind offshore	wind_offshore	2017	400	4	4503	1.1	1.25	6192	0	74	9716	9716	2012	2014
Wind offshore	wind_offshore	2018	400	4	4476	1.1	1.25	6154	0	73.96	9516	9516	2013	2015
