category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,13.1304399424112,4204380,320201,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2013
C,Karnavati Holdings Inc ,46.4787071132738,15163265,326241.110000014,C0017 ,Argus Cogen Plant,2013
C,Los Angeles Department of Water & Power (LADWP) ,10.2605857682553,121322500,11824130,C0023 ,Intermountain Power Project (UT),2013
C,Rio Bravo ,10.930570718098,720893,65952,C0018 ,Rio Bravo Jasmin,2013
C,Rio Bravo ,10.8443020824922,1208630,111453,C0022 ,Rio Bravo Poso,2013
C,Tesoro Refining & Marketing Company LLC ,15.1920220337934,2945490,193884,C0002 ,Los Angeles Refinery - Calciner,2013
E,Ameresco Inc ,10.5007457916045,147840,14079,E0248 ,Ameresco Butte County Neal Road Landfill,2013
E,Ameresco Inc ,14.1677627547894,693682,48962,E0250 ,Ameresco Chiquita Energy,2013
E,Ameresco Inc ,10.7247108478687,919837,85768,E0218 ,Ameresco Half Moon Bay (Ox Mountain Landfill),2013
E,Ameresco Inc ,10.6495610839319,306931,28821,E0217 ,Ameresco Keller Canyon,2013
E,Ameresco Inc ,11.8613183048787,214678,18099,E0214 ,Ameresco Santa Cruz Energy,2013
E,Bio Energy Partners/WM Renewable Energy ,17.2256745079213,897027,52075,E0106 ,Altamont Gas Recovery,2013
E,Blue Lake Power LLC ,18.4342511752854,1372430,74450,E0097 ,Blue Lake,2013
E,Brea Parent 2007 LLC c/o Broadrock Renewables LLC ,10.333620203579,1741060,168485,E0249 ,Brea Expansion Plant - Brea Power II LLC,2013
E,Buena Vista Biomass Power ,18.8404797063248,1365200,72461,E0201 ,Buena Vista Biomass,2013
E,Burney Forest Power ,18.2324972527112,4164430,228407,E0005 ,Burney Forest Products,2013
E,City of Oxnard Wastewater Division ,11.702965636278,74583,6373,E0211 ,Oxnard Wastewater Treatment Plant,2013
E,City of San Diego ,17.0026525198939,641000,37700,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2013
E,City of San Diego ,11.4575471698113,2429,212,E0244 ,North City Cogeneration Facility Expansion (NCCFE),2013
E,City of Santa Maria ,19.9997392777995,153418,7671,E0228 ,Santa Maria II Landfill,2013
E,City of Sunnyvale Water Pollution Control Plant ,6.20916121356336,52188,8405,E0181 ,Sunnyvale Water Pollution Control Plant,2013
E,Collins Pine Co ,16.9075197951733,713193,42182,E0026 ,Collins Pine Co Project,2013
E,Community Renewable Energy Services Inc ,20.6642387345763,1520640,73588,E0033 ,Dinuba Energy,2013
E,County of Riverside Waste Management Department ,11.3740932642487,43904,3860,E0210 ,RCWMD Badlands Power Plant,2013
E,County of Sacramento Waste Management ,4.153559566787,287634,69250,E0203 ,Kiefer Landfill Gas-to-Energy Facility,2013
E,County Sanitation Districts of Los Angeles County ,13.4576944451128,542927,40343.240234375,E0227 ,Calabasas Gas-to-Energy Facility,2013
E,County Sanitation Districts of Los Angeles County ,14.7874287369488,1123120,75951,E0113 ,Commerce Refuse To Energy,2013
E,County Sanitation Districts of Los Angeles County ,11.6254622483059,4483270,385642.300000012,E0127 ,Puente Hills Energy Recovery,2013
E,County Sanitation Districts of Los Angeles County ,10.3838341196921,418157,40270,E0128 ,Puente Hills Gas-to-Energy Facility  Phase II,2013
E,County Sanitation Districts of Los Angeles County ,15.3144610397129,529084,34548,E0129 ,Spadra Landfill Gas to Energy,2013
E,County Sanitation Districts of Los Angeles County ,12.8121494198709,1716910,134006.3984375,E0212 ,Total Energy Facilities,2013
E,Covanta Delano/Mendota ,17.5155779890993,5652820,322731,E0029 ,Covanta Delano  Inc,2013
E,Covanta Delano/Mendota ,16.828425438073,2960810,175941,E0052 ,Covanta Mendota LP,2013
E,Covanta Energy Inc ,18.4910638182728,2733460,147826,E0150 ,Stanislaus Resource Recovery Facility,2013
E,Desert View Power (formerly Colmac Energy Inc) ,15.9048481173728,5587230,351291,E0027 ,Desert View Power (Mecca Plant),2013
E,DTE Energy Services ,17.1979524354572,3245460,188712,E0105 ,Woodland Biomass Power Ltd,2013
E,East Bay Municipal Utility District (EBMUD) ,11.783795178414,307451,26091,E0242 ,EBMUD Wastewater Treatment Plant Digester Gas Turbine,2013
E,East Bay Municipal Utility District (EBMUD) ,9.95852064523441,263612,26471,E0036 ,EBMUD Wastewater Treatment Plant Power Generation Station,2013
E,Eel River Power LLC ,24.6782477413001,3329809,134928.907226562,E0063 ,Scotia,2013
E,Encina Wastewater Authority ,10.9792616226071,144531,13164,E0251 ,Encina Water Pollution Control,2013
E,Energy 2001 Inc ,13.225087683103,384612,29082,E0225 ,Lincoln Landfill - WPWMA,2013
E,Fortistar Methane Group ,17.9941956882255,21701,1206,E0118 ,American Canyon Power Plant (Retired 2013),2013
E,Fortistar Methane Group ,21.2971983480299,954008,44795,E0117 ,Coyote Canyon,2013
E,Fortistar Methane Group ,12.65113623387,110786,8757,E0120 ,Guadalupe Power Plant (Retired 2013),2013
E,Fortistar Methane Group ,13.3832783937669,44660,3337,E0123 ,Marsh Road Power Plant (Retired 2013),2013
E,Fortistar Methane Group ,10.1244627815025,235576,23268,E0205 ,Miramar Energy LLC LFG,2013
E,Fortistar Methane Group ,10.2835136661887,473309,46026,E0168 ,MM Lopez Energy LLC,2013
E,Fortistar Methane Group ,12.0150196202246,532770,44342,E0194 ,MM Prima Deshecha Energy LLC,2013
E,Fortistar Methane Group ,10.311461548218,487794,47306,E0054 ,MM San Diego LLC - Miramar Landfill,2013
E,Fortistar Methane Group ,12.6878232077086,341036,26879,E0202 ,MM San Diego LLC - North City,2013
E,Fortistar Methane Group ,12.1955622576476,283059,23210,E0095 ,MM Tajiguas Energy LLC,2013
E,Fortistar Methane Group ,,0,0,E0101 ,MM Tulare Energy LLC,2013
E,Fortistar Methane Group ,17.9198066060761,770928,43021,E0152 ,MM West Covina LLC,2013
E,Fortistar Methane Group ,13.6935063553688,257479,18803,E0154 ,MM Yolo Power LLC Facility,2013
E,Fortistar Methane Group ,15.6735042735043,73352,4680,E0204 ,MN Colton Genco LLC (Retired 2013),2013
E,Fortistar Methane Group ,14.0855439384775,163012,11573,E0209 ,MN Mid Valley Genco LLC,2013
E,Fortistar Methane Group ,14.5280705310093,143363,9868,E0206 ,MN Milliken Genco LLC (Retired 2014),2013
E,Fortistar Methane Group ,13.5939254354398,94437,6947,E0179 ,Newby Island I,2013
E,Fortistar Methane Group ,11.7664104080426,119382,10146,E0132 ,Santa Cruz Energy LLC,2013
E,G2 Energy (Hay Road) LLC ,10.0405986307913,63065,6281,E0236 ,Hay Road,2013
E,G2 Energy (Ostrom Road) LLC ,10.0416308160699,151719,15109,E0237 ,Ostrom Road,2013
E,Gas Recovery Systems Inc ,12.2556137724551,130988,10688,E0075 ,San Marcos,2013
E,Gas Recovery Systems Inc ,26.4121635009457,425286,16101.8994140625,E0094 ,Sycamore Landfill San Diego,2013
E,Global Ampersand LLC ,20.4952016468064,1413800,68982,E0018 ,Chowchilla II Biomass,2013
E,Global Ampersand LLC ,21.691410623664,1491740,68771,E0007 ,El Nido Biomass,2013
E,HL Power Co ,14.363067479772,2882840,200712,E0041 ,HL Power Company (Honey Lake),2013
E,IHI Power Services Corp ,20.2330333328134,2594320,128222,E0100 ,Pacific Ultrapower Chinese,2013
E,Los Angeles Department of Water & Power (LADWP) ,13.6821739130435,157345,11500,E0153 ,Bradley Landfill,2013
E,Madera Power LLC ,0,0,0.119999997317791,E0050 ,Madera Power (offline 3/28/2012 - repowered 2013),2013
E,Marubeni Sustainable Energy Inc ,17.7077093540624,2045630,115522,E0037 ,DG Fairhaven Power Plant,2013
E,Monterey Regional Waste Mgmt Dist ,10.6193061275427,340370,32052,E0135 ,Marina Landfill Gas (Monterey Regional Waste Management Dst),2013
E,MRWPCA ,15.1786591786592,129732,8547,E0055 ,Monterey Regional Water Pollution Control Cogen,2013
E,Mt Poso Cogeneration Co ,16.2979005998286,3803930,233400,E0232 ,Mt. Poso Cogeneration,2013
E,Orange County Sanitation District ,10.7075660807368,474506,44315.01953125,E0025 ,Plant No 2,2013
E,Otay Landfill Gas LLC ,13.5621644652748,318304,23470,E0061 ,Otay 1 & 2 Power Station,2013
E,Otay Landfill Gas LLC ,6.9202080810305,251425,36332,E0300 ,Otay 3 Power Station,2013
E,Ridgewood Power Management LLC ,12.1003998223012,27238,2251,E0109 ,Brea Power Partners LP,2013
E,Rio Bravo ,14.9792162497121,2731520,182354,E0098 ,Rio Bravo Fresno,2013
E,Rio Bravo ,15.6224439894455,2907040,186081,E0099 ,Rio Bravo Rocklin,2013
E,Roseburg Forest Products ,22.2560135165177,1501680,67473,E0243 ,Roseburg Forest Products,2013
E,SERRF Joint Powers Authority ,18.7203054298643,4236480,226304,E0112 ,Southeast Resource Recovery,2013
E,SF Public Utilities Commisson ,10.3651548544252,89358,8621,E0110 ,Southeast Digester Gas Cogen Plant,2013
E,Sierra Pacific Industries Inc ,47.5030188679245,1258830,26500,E0174 ,SPI - Anderson,2013
E,Sierra Pacific Industries Inc ,23.9857657657658,2662420,111000,E0078 ,SPI - Burney,2013
E,Sierra Pacific Industries Inc ,23.6044687607606,2467800,104548,E0004 ,SPI - Lincoln,2013
E,Sierra Pacific Industries Inc ,25.0847784322956,3943277,157198,E0081 ,SPI - Quincy,2013
E,Sierra Pacific Industries Inc ,46.6619825294341,1228610,26330,E0038 ,SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009),2013
E,Sonoma County Department of Transportation and Public Works ,11.5544881827861,216010,18694.8999023438,E0195 ,Central LF (Sonoma) Phase I,2013
E,Sonoma County Department of Transportation and Public Works ,13.6493086214232,224396,16440.1000976562,E0196 ,Central LF (Sonoma) Phase II,2013
E,South Orange County Wastewater Authority ,9.36670708470466,54074,5773,E0155 ,Aliso Water Management Agency,2013
E,Thermal Energy Dev Partner LP ,17.1225234702498,2148500,125478,E0096 ,Tracy Biomass Plant,2013
E,Toro Energy of California LLC ,11.1430123099203,61554,5524,E0254 ,Cold Canyon,2013
E,Toyon Landfill Gas Conversion LLC ,15.0367773508915,130369.01,8670.00999999978,E0143 ,Toyon Landfill Gas Conversion LLC,2013
E,Ventura Regional Sanitation District ,12.6450333002692,89236,7057,E0256 ,Toland Road Landfill (Ventura),2013
E,Wadham Energy LP ,13.283881376376,2610110,196487,E0102 ,Wadham,2013
E,West Contra Costa Energy Recovery Inc ,17.8418278852568,267449,14990,E0137 ,Nove Power Plant,2013
E,Wheelabrator Hudson Energy Co Inc ,20.9783924705051,474762,22631,E0165 ,Wheelabrator Hudson Energy - Retired 2003 and 2014,2013
E,Wheelabrator Technologies Inc ,14.3084796907511,5803920,405628,E0086 ,Wheelabrator Shasta,2013
E,WM Energy Solutions Inc ,14.0611636465272,301851,21467,E0207 ,El Sobrante Landfill,2013
E,WM Energy Solutions Inc ,11.8133929175977,174472,14769,E0208 ,Simi Valley Landfill,2013
G,Aera Energy LLC ,26.2071296105502,1271832,48530,G0802 ,AERA San Ardo Cogen Facility,2013
G,Aera Energy LLC ,14.1354595398256,779613,55153,G0557 ,Coalinga Cogeneration Facility,2013
G,Aera Energy LLC ,16.8933325136024,549557,32531,G0599 ,Lost Hills Cogeneration Plant,2013
G,Aera Energy LLC ,10.6923735393068,4296880,401864,G0516 ,South Belridge Cogen Facility,2013
G,AES Alamitos LLC ,10.9677201285444,16076981,1465845.29980469,G0011 ,Alamitos,2013
G,AES Huntington Beach LLC ,10.7686786250906,9166590,851227,G0274 ,Huntington Beach (AES),2013
G,AES Redondo Beach LLC ,12.4743622993113,3695939,296282.80078125,G0490 ,Redondo Beach LLC_(AES),2013
G,Air Products and Chemicals Inc ,0,0,195666,G0078 ,Wilmington,2013
G,Algonquin Power Systems ,8.39232326434165,1164930,138809,G0536 ,Algonquin Power Sanger LLC,2013
G,Alliance Star Energy LLC ,11.722380919674,29013.0099999998,2475.00999999978,G1017 ,Sheraton San Diego East Tower (shutdown August 2014),2013
G,Altagas Blythe Operations Inc ,7.2145229541744,13252350,1836899,G0787 ,Blythe Energy Project,2013
G,AltaGas Pomona Energy Inc ,9.89899843241061,1054570,106533,G0562 ,AltaGas Pomona Energy Inc (San Gabriel Cogeneration),2013
G,AltaGas San Joaquin Energy Inc ,11.0327389816865,1370542,124225,G0832 ,Hanford Energy Park Peaker,2013
G,AltaGas San Joaquin Energy Inc ,10.7161107824286,579613,54088,G0867 ,Henrietta Peaker,2013
G,AltaGas San Joaquin Energy Inc ,8.12946223103772,4963370,610541,G0838 ,Tracy Peaker Plant (reconfigured from Peaker to CC 2012),2013
G,Applied Energy LLC ,10.8429233656966,3616180,333506,G0626 ,Naval Station Energy Facility,2013
G,Applied Energy LLC ,9.89855082268889,2926170,295616,G0399 ,North Island Energy Facility,2013
G,Applied Energy LLC ,10.6147983520112,2025070,190778,G0386 ,NTC MCRD Energy Facility,2013
G,B Braun Medical Inc ,14.2182798113631,506512,35624,G9100 ,B Braun Medical Inc,2013
G,Badger Creek Limited ,9.43671881634122,2333710,247301,G0040 ,Badger Creek Cogen,2013
G,Bear Mountain Limited ,9.2993065162241,2063730,221923,G0428 ,Bear Mountain Cogen,2013
G,Bicent (California) Malburg LLC ,6.84735758008969,5421950,791831,G0894 ,Malburg Power Plant,2013
G,Biola University ,11.4911792752702,144605,12584,G0054 ,Biola University,2013
G,Burbank Water and Power ,11.3661978836001,140601,12370.099609375,G0063 ,Lake 1,2013
G,Burbank Water and Power ,7.11066135307555,8274399.30078125,1163661,G0329 ,Magnolia,2013
G,Burbank Water and Power ,0.769230828012472,0.600000023841858,0.779999971389771,G0410 ,Olive,2013
G,C&H Sugar Company ,0,0,45455.599609375,G0509 ,C&H Sugar Plant,2013
G,Cabrillo Power I LLC (NRG West Coast Inc) ,12.9431290885979,6262080,483815,G0196 ,Encina,2013
G,Cabrillo Power II LLC (NRG West Coast Inc) ,19.3326710221628,13419,694.109985351562,G0189 ,El Cajon,2013
G,Cabrillo Power II LLC (NRG West Coast Inc) ,15.6595137682957,252494,16124,G0289 ,Kearny,2013
G,Cabrillo Power II LLC (NRG West Coast Inc) ,17.3895376753144,44528,2560.6201171875,G0360 ,San Diego Combustion Turbines - Miramar 1A 1B,2013
G,Calgren Renewable Fuels LLC ,15.3779010413122,451895,29386,G1020 ,Pixley Cogen Plant,2013
G,California Institute of Technology ,11.6466375521323,829392,71213,G0757 ,California Institute of Technology,2013
G,California Power Holdings LLC ,10.5974132159981,254868,24050.0200195312,G0896 ,Chowchilla II Peaker,2013
G,California Power Holdings LLC ,10.6771749014853,105672,9897,G0897 ,Red Bluff,2013
G,California Resources Corporation ,12.6373787515071,2326870,184126,G0775 ,Elk Hills CoGeneration,2013
G,CalPeak Power - Border LLC ,11.2503488372093,96753,8600,G0853 ,Border - CalPeak Power,2013
G,CalPeak Power - Enterprise LLC ,10.8725905782612,135940,12503,G0845 ,Enterprise - CalPeak Power,2013
G,CalPeak Power - Panoche ,10.9006618942826,85811.1015625,7872.10009765625,G0908 ,Panoche - CalPeak Power,2013
G,CalPeak Power - Vaca Dixon LLC ,10.8044547847139,76691.1015625,7098.10009765625,G0909 ,Vaca Dixon - CalPeak Power,2013
G,CalPeak Power LLC ,10.924679526459,445716,40799,G0998 ,Midway LLC - Starwood Power - CalPeak Power,2013
G,Calpine Corp & Bechtel Enterprise ,7.38081918156935,23589600,3196068,G0794 ,Metcalf Energy Center LLC,2013
G,Calpine Corporation - West Region ,7.23392439436575,2151971,297483.203125,G0866 ,Los Esteros Critical Energy Facility  LLC,2013
G,Calpine Corporation - West Region ,7.27787250098585,25653700,3524890,G0780 ,Los Medanos Energy Center LLC,2013
G,Calpine Corporation - West Region ,6.75935482127901,25018400,3701300,G0785 ,Otay Mesa Generating Project,2013
G,Calpine Corporation - West Region ,7.06902286128834,9500590,1343975,G0935 ,Russell City Energy Company  LLC,2013
G,Calpine Corporation - West Region ,7.72913504291874,8055320,1042202,G0779 ,Sutter Energy Center - Calpine Construction Finance Co,2013
G,Calpine Gilroy Cogen LP ,8.9810302986329,1128030,125601.40234375,G0229 ,Calpine Gilroy Cogen  L.P.,2013
G,Calpine King City Cogeneration LLC ,8.74784620566112,3584360,409742,G0019 ,Calpine King City Cogeneration  LLC,2013
G,Cardinal Cogen ,11.3595542872365,4008480,352873,G0080 ,Cardinal Cogen - Retired 3/31/2015,2013
G,Central Valley Financing ,8.91658844206553,3571593,400556,G0085 ,Sacramento Carson - Carson Ice CG,2013
G,Chalk Cliff Ltd ,9.08157668425009,1341140,147677,G0429 ,Chalk Cliff Cogen,2013
G,Chevron North America Exploration and Production ,1,0.0199999995529652,0.0199999995529652,G0595 ,A Fee Cogeneration Plant - Indefinite Shutdown,2013
G,Chevron North America Exploration and Production ,1,0.00999999977648258,0.00999999977648258,G0596 ,B Fee Cogeneration Plant - Indefinite Shutdown,2013
G,Chevron North America Exploration and Production ,1,0.0199999995529652,0.0199999995529652,G0597 ,C Fee Cogeneration Plant - Indefinite Shutdown,2013
G,Chevron North America Exploration and Production ,25.4590658286607,1589825.99000004,62446.359999992,G0100 ,Coalinga Cogeneration Plants,2013
G,Chevron North America Exploration and Production ,22.5357084022282,3693535,163897,G0102 ,Cymric Cogeneration Plants,2013
G,Chevron North America Exploration and Production ,11.7001454471452,3909510,334142,G0103 ,Kern River Eastridge Cogeneration Plant,2013
G,Chevron North America Exploration and Production ,16.817608927717,804106.390000012,47813.359999992,G0600 ,McKittrick Cogeneration Plant,2013
G,Chevron North America Exploration and Production ,0.714285764969938,0.900000035762787,1.25999996066093,G0601 ,North Midway Cogeneration Plant,2013
G,Chevron North America Exploration and Production ,12.1529616725624,1925870.60000002,158469.239999995,G0558 ,Southeast Kern River Cogen,2013
G,Chevron North America Exploration and Production ,23.0839829743922,1995795,86458,G0107 ,Taft 26C Cogeneration Plant,2013
G,Chevron Products Co - NorCal ,16.8901423652432,15711430,930213,G0104 ,Chevron Richmond Refinery Cogeneration,2013
G,Chevron Products Co - SoCal ,12.8801930858617,15792820,1226132.23999999,G0105 ,Chevron El Segundo Refinery Cogeneration,2013
G,Childrens Hospital & Health ,18.453470482219,419798,22749,G0109 ,Childrens Hospital #2,2013
G,City of Anaheim ,9.5004702245187,878879,92509,G0026 ,Anaheim CT,2013
G,City of Colton ,10.0519193037179,399604,39754,G0911 ,Agua Mansa Power Plant,2013
