category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,11.6085152937959,8912960,767795,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2006
C,Air Products and Chemicals Inc ,7.62316393117569,3421680,448853,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2006
C,DTE Stockton LLC ,12.7520768751246,3007080,235811,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2006
C,GWF Power Systems LP ,11.5519313611157,1941510,168068,C0008 ,East Third Street Power Plant - Retired April 2012,2006
C,GWF Power Systems LP ,10.9413048542737,1784680,163114,C0009 ,Loveridge Road Power Plant - Retired April 2012,2006
C,GWF Power Systems LP ,11.1466704407005,1811490,162514,C0012 ,Nichols Road Power Plant - Retired April 2012,2006
C,GWF Power Systems LP ,11.4679695186414,1876630,163641,C0010 ,Wilbur East Power Plant - Retired April 2012,2006
C,GWF Power Systems LP ,11.3080635127708,1872310,165573,C0011 ,Wilbur West Power Plant - Retired April 2012,2006
C,Hanford LP ,11.4628042988771,2377420,207403,C0007 ,Hanford - Retired October 2011,2006
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2006
C,Karnavati Holdings Inc ,43.3519520678418,15790000,364228.119999997,C0017 ,Argus Cogen Plant,2006
C,Los Angeles Department of Water & Power (LADWP) ,9.55829417992347,138133600,14451700,C0023 ,Intermountain Power Project (UT),2006
C,Mt Poso Cogeneration Co ,8.30586657454634,3269920,393688,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2006
C,Rio Bravo ,5.30593241443529,1470120,277071,C0018 ,Rio Bravo Jasmin,2006
C,Rio Bravo ,5.36336559165884,1546800,288401,C0022 ,Rio Bravo Poso,2006
C,Tesoro Refining & Marketing Company LLC ,16.5865145946577,3975970,239711,C0002 ,Los Angeles Refinery - Calciner,2006
C,TXI Riverside Cement ,5.83008172950171,840313,144134,C0019 ,TXI Riverside Cement Power House (Shutdown March 2008),2006
E,Big Valley Power LLC ,26.8076733890802,654000,24396,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2006
E,Bio Energy Partners/WM Renewable Energy ,17.3283859353455,904819,52216,E0106 ,Altamont Gas Recovery,2006
E,Burney Forest Power ,18.8530625286526,4071300,215949,E0005 ,Burney Forest Products,2006
E,Burney Mountain Power ,19.4799913742645,1264680,64922,E0006 ,Burney Mountain Power,2006
E,Chateau Energy Inc ,,0,0,E0042 ,Mesquite Lake Resource Recovery Project - Retired Dec 2008,2006
E,City of Oxnard Wastewater Division ,11.1145925272139,75557,6798,E0211 ,Oxnard Wastewater Treatment Plant,2006
E,City of San Diego ,18,597348,33186,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2006
E,City of Sunnyvale Water Pollution Control Plant ,14.1550227815144,130481,9218,E0181 ,Sunnyvale Water Pollution Control Plant,2006
E,Collins Pine Co ,16.0488283190766,639732,39861.6015625,E0026 ,Collins Pine Co Project,2006
E,Community Renewable Energy Services Inc ,19.1690116489286,1219360,63611,E0033 ,Dinuba Energy,2006
E,County of Riverside Waste Management Department ,14.4439625260236,83255,5764,E0210 ,RCWMD Badlands Power Plant,2006
E,County of Sacramento Waste Management ,14.1723503678664,855273,60348,E0203 ,Kiefer Landfill Gas-to-Energy Facility,2006
E,County Sanitation Districts of Los Angeles County ,17.8420871756687,1246020,69836,E0113 ,Commerce Refuse To Energy,2006
E,County Sanitation Districts of Los Angeles County ,12.4449370802634,381736,30674,E0130 ,Palos Verdes Gas to Energy Facility - Retired Oct 2011,2006
E,County Sanitation Districts of Los Angeles County ,12.07518171048,4902560,406003,E0127 ,Puente Hills Energy Recovery,2006
