category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,12.0988468335245,9523450,787137,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2009
C,Air Products and Chemicals Inc ,7.69660870925374,3099940,402767,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2009
C,DTE Stockton LLC ,14.3902075987608,927364,64444.1015625,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2009
C,GWF Power Systems LP ,11.5776064716929,1763200,152294,C0008 ,East Third Street Power Plant - Retired April 2012,2009
C,GWF Power Systems LP ,11.4055613275427,1767440,154963,C0009 ,Loveridge Road Power Plant - Retired April 2012,2009
C,GWF Power Systems LP ,11.3888543635971,1740980,152867,C0012 ,Nichols Road Power Plant - Retired April 2012,2009
C,GWF Power Systems LP ,11.4841246348087,1784610,155398,C0010 ,Wilbur East Power Plant - Retired April 2012,2009
C,GWF Power Systems LP ,11.4786062582749,1777290,154835,C0011 ,Wilbur West Power Plant - Retired April 2012,2009
C,Hanford LP ,11.177507701146,2256940,201918,C0007 ,Hanford - Retired October 2011,2009
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2009
C,Karnavati Holdings Inc ,43.3840760002095,15023345,346287.080078125,C0017 ,Argus Cogen Plant,2009
C,Los Angeles Department of Water & Power (LADWP) ,9.63905665485604,130663100,13555590,C0023 ,Intermountain Power Project (UT),2009
C,Mt Poso Cogeneration Co ,10.4596240953819,4017960,384140,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2009
C,Rio Bravo ,6.21807442086495,1816940,292203,C0018 ,Rio Bravo Jasmin,2009
C,Rio Bravo ,6.36629299274633,1834320,288130,C0022 ,Rio Bravo Poso,2009
C,Tesoro Refining & Marketing Company LLC ,14.5287113204065,2912440,200461,C0002 ,Los Angeles Refinery - Calciner,2009
E,Ameresco Inc ,10.390625,766080,73728,E0218 ,Ameresco Half Moon Bay (Ox Mountain Landfill),2009
E,Ameresco Inc ,10.2284350494374,120000,11732,E0217 ,Ameresco Keller Canyon,2009
E,Ameresco Inc ,12.7921339440847,242961,18993,E0214 ,Ameresco Santa Cruz Energy,2009
E,Big Valley Power LLC ,22.7736842105263,4327,190,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2009
E,Bio Energy Partners/WM Renewable Energy ,18.1578922716628,775342,42700,E0106 ,Altamont Gas Recovery,2009
E,Burney Forest Power ,19.1215215459409,4389460,229556,E0005 ,Burney Forest Products,2009
E,Burney Mountain Power ,22.1434979096495,1308260,59081,E0006 ,Burney Mountain Power,2009
E,City of Oxnard Wastewater Division ,14.4212813908564,89585,6212,E0211 ,Oxnard Wastewater Treatment Plant,2009
E,City of San Diego ,18,601902,33439,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2009
E,City of Sunnyvale Water Pollution Control Plant ,12.6712541190153,130742,10318,E0181 ,Sunnyvale Water Pollution Control Plant,2009
E,Collins Pine Co ,23.9281362184237,1453060,60726,E0026 ,Collins Pine Co Project,2009
E,Community Renewable Energy Services Inc ,19.8317338047733,1256380,63352,E0033 ,Dinuba Energy,2009
