category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,12.4130820875427,8205370,661026,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2001
C,Air Products and Chemicals Inc ,6.24330271399675,2811790,450369,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2001
C,DTE Stockton LLC ,10.2234938242499,2558460,250253,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2001
C,GWF Power Systems LP ,10.6507635553025,1758260,165083,C0008 ,East Third Street Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.5140447048242,1894590,164546,C0009 ,Loveridge Road Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.6632765433698,1800460,154370,C0012 ,Nichols Road Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.799655371906,1896830,160753,C0010 ,Wilbur East Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.2297458533479,1816490,161757,C0011 ,Wilbur West Power Plant - Retired April 2012,2001
C,Hanford LP ,12.856735274096,2568570,199784,C0007 ,Hanford - Retired October 2011,2001
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2001
C,Karnavati Holdings Inc ,41.4464376688157,15190870,366518.109985352,C0017 ,Argus Cogen Plant,2001
C,Los Angeles Department of Water & Power (LADWP) ,9.51600466242267,127358400,13383600,C0023 ,Intermountain Power Project (UT),2001
C,Mt Poso Cogeneration Co ,9.01230800007181,3513980,389909,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2001
C,Rio Bravo ,6.23325199865103,1571060,252045,C0018 ,Rio Bravo Jasmin,2001
C,Rio Bravo ,5.97431679981772,1678090,280884,C0022 ,Rio Bravo Poso,2001
C,Southern California Edison (SCE) ,9.99515269025691,103100000,10315000,C0024 ,Mohave Generating Station (Nevada) - Retired December 2005,2001
C,Tesoro Refining & Marketing Company LLC ,14.6413862425391,3291940,224838,C0002 ,Los Angeles Refinery - Calciner,2001
C,TXI Riverside Cement ,6.41737175684536,1027710,160145,C0019 ,TXI Riverside Cement Power House (Shutdown March 2008),2001
E,Big Valley Power LLC ,24.1862068965517,701400,29000,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2001
E,Bio Energy Partners/WM Renewable Energy ,19.6655750026844,732582,37252,E0106 ,Altamont Gas Recovery,2001
E,Blue Lake Power LLC ,,0,0,E0097 ,Blue Lake,2001
E,Burney Forest Power ,17.8020463464773,3048280,171232,E0005 ,Burney Forest Products,2001
E,Burney Mountain Power ,20.4001166627171,1119130,54859,E0006 ,Burney Mountain Power,2001
E,Chateau Energy Inc ,,0,0,E0042 ,Mesquite Lake Resource Recovery Project - Retired Dec 2008,2001
E,City of Oxnard Wastewater Division ,8.14168086314594,57350,7044,E0211 ,Oxnard Wastewater Treatment Plant,2001
